TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
396,喉间痰鸣,Hou Jian Tan Ming,,肺,痰湿,Synonymous terms,"v1,v2",0
397,喉痛,Hou Tong,,,火热,Ontological terms,"v1,v2",0
398,喉痒,Hou Yang,喉痒，病证名。系指因多种因素所致的咽喉作痒，或伴咽干咽痛的病证。见《太平圣惠方》卷三十五。本病之病因较为复杂。如风寒、风热之侵袭，胃家实热之熏蒸，阴虚火旺等。尽管如此，但各种病因最后都演化为火。因此，在临证时应辨明火之虚实，分别采用清胃泻火汤、知柏地黄汤等加减化裁治疗。,,风,Synonymous terms,"v1,v2",0
399,喉中作响,Hou Zhong Zuo Xiang,,,痰湿,Synonymous terms,"v1,v2",0
400,喉肿,Hou Zhong,喉肿，病证名。系指咽喉肿痛的病证。《焦氏喉科枕秘》卷一：“此证起于脾经，食煎炒油炽等物，及饮酒太过而行房事，以致毒气不能流行，聚结喉根，若不速治，毒闭即死。”详见咽喉肿痛条。,,湿热,Ontological terms,"v1,v2",0
401,呼吸道出血,Hu Xi Dao Chu Xie,,,瘀血,Synonymous terms,"v1,v2",0
402,呼吸气促,Hu Xi Qi Cu,,,气逆,Ontological terms,"v1,v2",0
403,滑精,Hua Jing,“滑精”又称“滑泄”，是指夜间无梦而遗，甚至清醒时精液自动滑出的病症。滑精是遗精的一种，是遗精发展到了较重的病态阶段。专家提醒：滑精需要及早治疗，症状严重的要及时到医院诊断治疗，以免造成其他更严重疾病的出现。 滑精又称“滑泄 ”，指夜间无梦而遗，甚至清醒时精液自动滑出的病症。,膀胱,肾虚,Ontological terms,"v1,v2",0
404,化脓,Hua Nong,化脓是因为破损的伤口或组织被病菌感染而所发生的病理变化，70%是直接受到了由化脓性链球菌(Streptococcus pyogenes)引起的感染。化脓同时会伴有脓液，是机体组织炎症过程中形成的浓稠或稀薄的混和物，炎症过程中细胞、组织在细菌和中性粒细胞释放的蛋白溶解酶的作用下发生液化坏死，加上血管的液体渗出，形成肉眼呈灰黄色或黄白色的浓稠状液体。其处理方法主要有：清理伤口感染，消毒或去医院处理。,,湿热,Synonymous terms,"v1,v2",0
405,黄疸,Huang Dan,黄疸是常见症状与体征，其发生是由于胆红素代谢障碍而引起血清内胆红素浓度升高所致。临床上表现为巩膜、黏膜、皮肤及其他组织被染成黄色。因巩膜含有较多的弹性硬蛋白，与胆红素有较强的亲和力，故黄疸患者巩膜黄染常先于黏膜、皮肤而首先被察觉。当血清总胆红素在17.1～34.2μmol/L，而肉眼看不出黄疸时，称隐性黄疸或亚临床黄疸；当血渍总胆红素浓度超过34.2μmol/L时，临床上即可发现黄疸，也称为显性黄疸。,肝,湿热,Ontological terms,"v1,v2",0
406,黄痰,Huang Tan,,肺,湿热,Ontological terms,"v1,v2",0
407,会阴少腹腰骶部疼痛,Hui Yin Shao Fu Yao Di Bu Teng Tong,,,肾虚,Synonymous terms,"v1,v2",0
408,昏厥,Hun Jue,昏厥是以突然昏倒，不省人事为特征的内科急症。,心,气血上逆,Synonymous terms,"v1,v2",0
409,昏迷,Hun Mi,"昏迷是由于大脑功能受到极度抑制而意识丧失和随意运动消失，而且对刺激无反应或出现异常反射活动的病理状态。值得注意的是，昏迷与嗜睡、昏睡是不相同的。昏迷是内科急症中常见的症状之一，约占急诊总人数的3%~5%，病死率高达20%，涉及多专业，多学科知识。由于昏迷患者无法提供病史及配合检查，给诊断、治疗带来一定的困难,这就需要临床医生详细询问送诊人员昏迷患者病史及认真体检，进行必要的辅助检查,才能在第一时间内做出正确诊治。",心,气血上逆,Ontological terms,"v1,v2",0
410,昏仆,Hun Pu,,心,气血上逆,Synonymous terms,"v1,v2",0
411,昏睡,Hun Shui,昏睡（lethargy），指意识障碍比意识模糊更重，环境意识及自我意识均丧失，以过度睡眠为主要临床表现。患者处于熟睡状态，只有强刺激才可被唤醒，醒后答非所问，停止刺激后即进入熟睡状态。此为意识障碍的一种表现。此外，昏睡病是指一种特殊的疾病，在非洲由锥虫侵入人体所致。,心,痰湿,Synonymous terms,"v1,v2",0
412,活动受限,Huo Dong Shou Xian,活动受限，医学专用术语，指人或者动物等生命体的运动遭受到限制，通常指人的各个关节活动、行走等基本运动固定在特定范围，并弱于健康时的运动范围、幅度、频率等。,,经络不通,Synonymous terms,"v1,v2",0
413,活动障碍,Huo Dong Zhang Ai,,,经络不通,Synonymous terms,"v1,v2",0
414,肌肤红,Ji Fu Hong,,皮肤,热,Synonymous terms,"v1,v2",0
415,肌肤下肿块数处,Ji Fu Xia Zhong Kuai Shu Chu,,皮肤,痰湿,,v1,1
416,肌肤下肿块一处,Ji Fu Xia Zhong Kuai Yi Chu,,皮肤,痰湿,Synonymous terms,"v1,v2",0
417,肌肤肿块数处,Ji Fu Zhong Kuai Shu Chu,,皮肤,痰湿,,v1,1
418,肌肤肿块一处 推之能动,Ji Fu Zhong Kuai Yi Chu   Tui Zhi Neng Dong,,皮肤,痰湿,Synonymous terms,"v1,v2",0
419,肌肉关节酸痛,Ji Rou Guan Jie Suan Tong,,四肢,湿热,Ontological terms,"v1,v2",0
420,肌肉红肿热痛,Ji Rou Hong Zhong Re Tong,,四肢,火热,Synonymous terms,"v1,v2",0
421,肌肉剧痛,Ji Rou Ju Tong,,四肢,火热,Synonymous terms,"v1,v2",0
422,肌肉麻木,Ji Rou Ma Mu,,四肢,气血虚弱,Synonymous terms,"v1,v2",0
423,肌肉疲劳,Ji Rou Pi Lao,肌肉疲劳（muscle fatigue） 身体肌肉承受工作活动产生的疲劳。主要表现为乏力，工作能力减弱，工作效率降低，注意涣散，操作速度减慢，动作的协调性和灵活性降低，差错及事故发生率增加，工作满意感降低等。存在明显的个体差异。身体素质、营养状况、性别、年龄、工作动机和责任心等因素都对其有显著影响。有许多理论试图解释其产生机制，其中以中枢学说、代谢物积累学说和能源耗尽学说较有代表性。中枢学说认为，大脑有关区域持续兴奋导致的抑制性保护及抑制在大脑中的扩散是其产生的根本原因。代谢物积累学说认为，其产生是由于工作过程中代谢物（如乳酸）的不断产生与积累，使人体产生类似中毒的效应。能源耗尽学说认为，长期活动造成体内能源物质（如肌糖元）消耗殆尽，影响肌肉、大脑和各组织器官的能量供应，使人体丧失继续工作的能力。一般从工作绩效、主观反应和生理生化等方面对其作出综合评价。合理休息是其消除的最重要途径。除静止休息外，也可通过不断地变换工作使不同肌肉交替得到休息。科学地进行工作设计，让工作环境和工作负荷等处于最佳状态，也是使之减轻或延迟出现的重要措施。,四肢,脾虚,Synonymous terms,"v1,v2",0
424,肌肉酸麻,Ji Rou Suan Ma,,四肢,气虚,Synonymous terms,"v1,v2",0
425,肌肉酸痛,Ji Rou Suan Tong,肌肉酸痛（muscle soreness）可由运动、感染性疾病等疾病引起。其理论有：①组织牵引：肌肉损伤而起。②肌肉痉挛：肌肉的反复性抽筋而起。③结缔组织：肌肉的结缔组织受伤（如肌腱）而起。事实上，肌肉的慢性酸痛是肌肉的损伤分裂所形成。,四肢,经络不通,Synonymous terms,"v1,v2",0
426,肌肉疼痛,Ji Rou Teng Tong,肌肉疼痛是一个很广泛的症状，很多疾病都可以导致肌肉疼痛，最常见的当属剧烈运动后引起的肌肉生理性酸痛，原因为肌肉局部无氧酵解产生过多乳酸，堆积在局部，刺激神经末梢从而产生酸痛。而疾病导致的肌肉疼痛见于下列疾病：,四肢,经络不通,Synonymous terms,"v1,v2",0
427,肌肉萎缩,Ji Rou Wei Suo,肌肉萎缩（myatrophy；myophagism）是指横纹肌营养障碍，肌肉纤维变细甚至消失等导致的肌肉体积缩小。多由肌肉本身疾患或神经系统功能障碍所致，病因主要有：神经源性肌萎缩、肌源性肌萎缩、废用性肌萎缩和其他原因性肌萎缩。肌肉营养状况除肌肉组织本身的病理变化外，更与神经系统有密切关系。脊髓疾病常导致肌肉营养不良而发生肌肉萎缩。肌萎缩患者由于肌肉萎缩、肌无力而长期卧床，易并发肺炎、压疮等，加之大多数患者出现延髓麻痹症状，给患者生命构成极大的威胁,四肢,气虚,Synonymous terms,"v1,v2",0
428,肌痩,Ji Shou,,四肢,气虚,Synonymous terms,"v1,v2",0
429,肌痿无力,Ji Wei Wu Li,,四肢,气虚,Ontological terms,"v1,v2",0
430,积聚痞块,Ji Ju Pi Kuai,,四肢,痰瘀,Synonymous terms,"v1,v2",0
431,积滞,Ji Zhi,积滞，中医病名。积滞是因小儿喂养不当，内伤乳食，停积胃肠，脾运失司所引起的一种小儿常见的脾胃病证。临床以不思乳食，腹胀嗳腐，大便酸臭或便秘为特征。食积又称积滞。与西医学消化不良相近。本病一年四季皆可发生，夏秋季节，暑湿易于困遏脾气，发病率较高。小儿各年龄组皆可发病，但以婴幼儿多见。常在感冒、泄泻、疳证中合并出现。,脾,气滞,Ontological terms,"v1,v2",0
432,积滞不消,Ji Zhi Bu Xiao,,脾胃,气滞,,v1,1
433,积滞内停,Ji Zhi Nei Ting,,脾胃,气滞,,v1,1
434,积滞胀满,Ji Zhi Zhang Man,,脾胃,气滞,,v1,1
435,急喉痹,Ji Hou Bi,急喉痹，病名。指多种原因所致的急性阻塞性喉病。症见咽喉肿痛迅速，胸闷气促、吞咽不利，痰涎壅盛、声如拽锯,,热毒,Synonymous terms,"v1,v2",0
436,急性起并半身不遂,Ji Xing Qi Bing Ban Shen Bu Sui,,,火热,Synonymous terms,"v1,v2",0
437,急躁易怒,Ji Zao Yi Nu,,,火热,Synonymous terms,"v1,v2",0
438,记忆减退,Ji Yi Jian Tui,记忆减退是一种记忆障碍， 临床上较多见，可以表现为远记忆力和近记忆力的减退。主要见于脑器质性精神障碍。脑器质性损害患者最早出现的是近记忆力的减退，患者记不住最近几天，甚至当天的进食情况，或记不住近几天谁曾前来看望等等。病情严重后远记忆力也减退，例如，回忆不起本人经历等。,心,肾虚,Synonymous terms,"v1,v2",0
439,记忆力减退,Ji Yi Li Jian Tui,记忆力减退是记忆包括识记、保持、再认或回忆三个基本过程，可分 为瞬时记忆（半分钟内）、近记忆（数天内）、远记忆（数月至数年）。记忆的三个基 本过程普遍减退称为记忆力减退，临床多见，是精神障碍的常见表现。,心,肾虚,Synonymous terms,"v1,v2",0
440,甲状腺肿大,Jia Zhuang Xian Zhong Da,单纯性甲状腺肿是甲状腺功能正常的甲状腺肿，是以缺碘、致甲状腺肿物质或相关酶缺陷等原因所致的代偿性甲状腺肿大，不伴有明显的甲状腺功能亢进或减退，故又称非毒性甲状腺肿，其特点是散发于非地方性甲状腺肿流行区，且不伴有肿瘤和炎症，病程初期甲状腺多为弥漫性肿大，以后可发展为多结节性肿大。,,气郁,Ontological terms,"v1,v2",0
441,肩背酸痛,Jian Bei Suan Tong,,四肢,经络不通,Ontological terms,"v1,v2",0
442,肩臂疼痛,Jian Bi Teng Tong,,四肢,经络不通,Ontological terms,"v1,v2",0
443,肩部疼痛重着,Jian Bu Teng Tong Zhong Zhao,,四肢,风湿,Synonymous terms,"v1,v2",0
444,肩颈疼痛,Jian Jing Teng Tong,,四肢,经络不通,Synonymous terms,"v1,v2",0
445,肩疼痛,Jian Teng Tong,,四肢,经络不通,Ontological terms,"v1,v2",0
446,睑弦赤烂,Jian Xian Chi Lan,睑弦赤烂，中医病名。指睑弦部潮红溃烂，或眦部睑弦潮红糜烂，俗称烂眼边或烂弦风。临床以睑弦潮红、溃烂刺痒为特征，且容易复发。本病包括西医学之鳞屑性、溃疡性、眦角性睑缘炎。,肝,火热,Ontological terms,"v1,v2",0
447,健忘,Jian Wang,健忘是指记忆力差、遇事易忘的症状。常见于老年人。,心脑,肾虚,Ontological terms,"v1,v2",0
448,舰血,Jian Xie,,大肠,,,v1,1
449,僵硬,Jiang Ying,指不灵活；肢体不能活动自如,,经络不通,Synonymous terms,"v1,v2",0
450,僵硬畸形,Jiang Ying Ji Xing,,,痰瘀,Synonymous terms,"v1,v2",0
451,焦虑,Jiao Lv,焦虑是人类在与环境作斗争及生存适应的过程中发展起来的基本人类情绪，焦虑并不意味着都是有临床意义的病理情绪，在应激面前适度的焦虑具有积极的意义，它可以充分地调动身体各脏器的机能，适度提高大脑的反应速度和警觉性。只有具备某些病理性特征同时对正常的社会功能造成影响时，才称为病理性焦虑。,心,气郁,Ontological terms,"v1,v2",0
452,脚气,Jiao Qi,足癣（俗名“香港脚”、脚气），系真菌感染引起，其皮肤损害往往是先单侧（即单脚）发生，数周或数月后才感染到对侧。水疱主要出现在趾腹和趾侧，最常见于三四趾间，足底亦可出现，为深在性小水疱，可逐渐融合成大疱。足癣的皮肤损害有一特点，即边界清楚，可逐渐向外扩展。因病情发展或搔抓，可出现糜烂、渗液，甚或细菌感染，出现脓疱等。,肾,湿热,Ontological terms,"v1,v2",0
453,脚气浮肿,Jiao Qi Fu Zhong,,肾,湿热,Ontological terms,"v1,v2",0
454,脚重,Jiao Zhong,,肾,湿热,Synonymous terms,"v1,v2",0
455,疖肿,Jie Zhong,疖肿是人体皮肤单个毛囊或皮脂腺因细菌感染引起的急性化脓性感染，感染后形成较大块的红色肿物。多发及反复发作的，称之为疖病。,皮肤,湿热,Ontological terms,"v1,v2",0
456,结节,Jie Jie,指生物体表面或内部组织中圆形的小突起。耻骨、坐骨、丘脑、颏部等都有结节,皮肤,痰湿,Synonymous terms,"v1,v2",0
457,疥癣,Jie Xian,疥”、“癣”都是皮肤表面的疾病，人们常用来比喻有关痛痒，但无碍生命的小问题。 “疥” 是象形字，描述钻入人体的寄生虫尖头甩尾的样子，现代医学称之为疥虫。疥虫的腭体很小，位于躯干的前端，一半陷入躯干中，螯肢呈钳形，适宜于食用皮肤的角质蛋白。疥虫的躯干的后半部有几对杆状的刚毛和长鬃。疥虫往往是夜行昼伏，导致晚上病人皮肤往往瘙痒剧烈。疥虫一般侵袭毛发浓密处，比如阴毛、腋毛、头发等处，出现红疹，导致瘙痒。由于人抓挠极易一起皮肤破溃感染，愈合后造成脱发、局部形成疮疤，俗称疥癞或疥癞头。,皮肤,血热,Ontological terms,"v1,v2",0
458,疥癣瘙痒,Jie Xian Sao Yang,,皮肤,血热,Ontological terms,"v1,v2",0
459,津伤,Jin Shang,,,热盛,,v1,1
460,筋骨酸痛,Jin Gu Suan Tong,全身肌肉关节受风、寒、暑、湿、燥、火“六淫”侵袭、或外伤、慢性劳损，透皮入骨致病而形成“六毒”，就是我们平常所说的“骨毒”。“骨毒”长期存在于骨与骨膜之上形成“宿毒”。宿毒使得骨及关节周围软织反复充血、水肿、粘连、挛缩，从而导致局部血液循环障碍，产生大量酸性物质刺激血管，损害肌肉组织，表现为肌肉筋骨关节酸痛，麻木、肿胀，甚至红肿变形，重者会造成关节骨质的破坏，关节变形，生活不能自理,四肢,经络不通,Ontological terms,"v1,v2",0
461,筋骨疼痛,Jin Gu Teng Tong,,四肢,经络不通,Ontological terms,"v1,v2",0
462,筋骨痿软,Jin Gu Wei Ruan,,四肢,肾虚,Ontological terms,"v1,v2",0
463,筋骨无力,Jin Gu Wu Li,,四肢,肾虚,Ontological terms,"v1,v2",0
464,筋骨瘀痛,Jin Gu Yu Tong,,四肢,血瘀,Synonymous terms,"v1,v2",0
465,筋脉拘急,Jin Mai Ju Ji,指肢体筋脉抽瘛，屈伸不利的症候,四肢,经络不通,Synonymous terms,"v1,v2",0
466,筋脉拘挛,Jin Mai Ju Luan,,四肢,经络不通,Ontological terms,"v1,v2",0
467,筋扭伤,Jin Niu Shang,,四肢,血瘀,Synonymous terms,"v1,v2",0
468,筋伤,Jin Shang,各种暴力或慢性劳损等原因所造成筋的损伤,四肢,血瘀,Ontological terms,"v1,v2",0
469,噤口痢,Jin Kou Li,噤口痢是属于痢疾之一。见《丹溪心法·痢》。亦称禁口痢。指患痢疾而见饮食不进，食入即吐，或呕不能食者。常见于疫痢、湿热痢重症。多因湿浊热毒蕴结肠中，邪毒亢盛，胃阴受劫，升降失常；或因久病脾胃两伤，中气败损所致。症见不思饮食，呕恶不纳，下痢频繁，肌肉瘦削，胸脘痞闷，舌绛，苔黄腻等。治疗可选用清热、解毒、辟秽、降逆、和阴、益气等法。,大肠,湿热,Ontological terms,"v1,v2",0
470,经闭,Jing Bi,指妇女月经不能正常来潮,子宫,瘀血,Ontological terms,"v1,v2",0
471,经初行不畅,Jing Chu Xing Bu Chang,,子宫,瘀血,Synonymous terms,"v1,v2",0
472,经寒不调,Jing Han Bu Diao,,子宫,阳虚,Ontological terms,"v1,v2",0
473,经行腹痛,Jing Xing Fu Tong,指行经期间出现下腹部及腰部疼痛，经净后即缓解痛止,子宫,血瘀,Ontological terms,"v1,v2",0
474,经行量少,Jing Xing Liang Shao,,子宫,血瘀,Ontological terms,"v1,v2",0
475,经行痛减,Jing Xing Tong Jian,,子宫,血瘀,Synonymous terms,"v1,v2",0
476,经行小腹冷痛,Jing Xing Xiao Fu Leng Tong,,子宫,阳虚,Synonymous terms,"v1,v2",0
477,经行小腹疼痛,Jing Xing Xiao Fu Teng Tong,,子宫,血瘀,Synonymous terms,"v1,v2",0
478,经行小腹喜热,Jing Xing Xiao Fu Xi Re,,子宫,阳虚,Synonymous terms,"v1,v2",0
479,经行小腹胀痛,Jing Xing Xiao Fu Zhang Tong,,子宫,气郁,Synonymous terms,"v1,v2",0
480,经量少有血块,Jing Liang Shao You Xie Kuai,,子宫,血瘀,Synonymous terms,"v1,v2",0
481,经期腹痛,Jing Qi Fu Tong,经期腹痛是指女性在月经期间出现的下腹部疼痛现象。这是一种较为常见的妇科症状，与前列腺素水平变化、盆腔器质性疾病等有关。一般来讲，通过采取积极的干预措施，可以使腹痛症状有效地减轻，从而提升患者的生活质量。,子宫,血瘀,Synonymous terms,"v1,v2",0
482,经期延长,Jing Qi Yan Chang,经期延长，中医病名。是指月经周期基本正常，行经时间超过7天以上，甚或淋漓半月方净者，称为月经延长。本病相当于西医学排卵型功能失调性子宫出血病的黄体萎缩不全者、盆腔炎症、子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,子宫,气虚,Ontological terms,"v1,v2",0
483,经前腹痛加剧,Jing Qian Fu Tong Jia Ju,,子宫,血瘀,Synonymous terms,"v1,v2",0
484,经前乳房胀痛,Jing Qian Ru Fang Zhang Tong,肝气郁结型［证见］经前乳房胀满疼痛而硬，甚则痛不可触衣；或阴中抽痛，或痛经或婚久不孕。经前常喜叹息，烦躁易怒，胸胁少腹胀痛。舌黯红或尖边红，苔薄白或微黄，脉弦或弦数。［治法］疏肝解郁，和胃消导。［方药］,子宫,任脉不通,Ontological terms,"v1,v2",0
485,经前乳胀,Jing Qian Ru Zhang,,子宫,任脉不通,Synonymous terms,"v1,v2",0
486,经前双乳胀痛,Jing Qian Shuang Ru Zhang Tong,,子宫,任脉不通,Ontological terms,"v1,v2",0
487,经前疼痛加重,Jing Qian Teng Tong Jia Zhong,,子宫,血瘀,Synonymous terms,"v1,v2",0
488,经前头痛,Jing Qian Tou Tong,,子宫,血瘀,Synonymous terms,"v1,v2",0
489,经前性情急躁,Jing Qian Xing Qing Ji Zao,,子宫,气郁,,v1,1
490,经前胸闷,Jing Qian Xiong Men,,子宫,气郁,Synonymous terms,"v1,v2",0
491,经少色淡,Jing Shao Se Dan,,子宫,血虚,Synonymous terms,"v1,v2",0
492,经水淋漓不净,Jing Shui Lin Li Bu Jing,,子宫,阳虚,Synonymous terms,"v1,v2",0
493,经血紫暗,Jing Xie Zi An,,子宫,血瘀,Synonymous terms,"v1,v2",0
494,惊风,Liang Feng,惊风，中医病名。是小儿时期常见的一种急重病证，以临床出现抽搐、昏迷为主要特征。又称“惊厥”，俗名“抽风”。任何季节均可发生，一般以1—5岁的小儿为多见，年龄越小，发病率越高。其证情往往比较凶险，变化迅速，威胁小儿生命。所以，古代医家认为惊风是一种恶候。如《东医宝鉴.小儿》说：“小儿疾之最危者，无越惊风之证”。《幼科释谜.惊风》也说：“小儿之病，最重惟惊”。本病西医学称小儿惊厥。,心脑,肝风,Ontological terms,"v1,v2",0
495,惊风抽搐,Liang Feng Chou Chu,,心脑,肝风,Ontological terms,"v1,v2",0
496,惊悸,Liang Ji,惊悸是一个汉语词汇，读音为jīng jì，是指无故自惊而悸动不宁之证；因惊而悸之证；突然心跳欲厥之证。《诸病源候论·虚劳病诸候》均有相关记载。,心脑,心气虚,Ontological terms,"v1,v2",0
497,惊悸不安,Liang Ji Bu An,惊慌心跳，不能安宁,心脑,心气虚,Ontological terms,"v1,v2",0
498,惊悸不宁,Liang Ji Bu Ning,,心脑,心气虚,Ontological terms,"v1,v2",0
499,惊悸多梦,Liang Ji Duo Meng,,心脑,心气虚,Ontological terms,"v1,v2",0
500,惊厥,Liang Jue,惊厥（convulsion）俗称抽筋、抽风、惊风，也称抽搐。表现为阵发性四肢和面部肌肉抽动，多伴有两侧眼球上翻、凝视或斜视，神志不清。有时伴有口吐白沫或嘴角牵动，呼吸暂停，面色青紫，发作时间多在3～5分钟之内，有时反复发作，甚至呈持续状态。是小儿常见的急症，尤以婴幼儿多见。6岁以下儿童期惊厥的发生率约为4%～6%，较成人高10～15倍，年龄愈小发生率愈高。惊厥的频繁发作或持续状态可危及患儿生命或可使患儿遗留严重的后遗症，影响小儿的智力发育和健康。,心脑,心气虚,Ontological terms,"v1,v2",0
501,惊恐,Liang Kong,惊慌害怕，恐惧,心脑,阳虚,Synonymous terms,"v1,v2",0
502,惊痫,Liang Xian,因受惊而得的痫病。 唐宋医书所载的癫痫，即指小儿惊风,心脑,痰瘀,Ontological terms,"v1,v2",0
503,惊痫不安,Liang Xian Bu An,,心脑,痰瘀,Synonymous terms,"v1,v2",0
504,精亏,Jing Yu,,肾,肾虚,,v1,1
505,精冷,Jing Leng,男子因真阳不足而引起精气清冷，无生育能力者,肾,肾虚,,v1,1
506,精气不足,Jing Qi Bu Zu,,肾,肾虚,Synonymous terms,"v1,v2",0
507,精神不振,Jing Shen Bu Zhen,,心,气虚,Synonymous terms,"v1,v2",0
508,精神恍惚,Jing Shen Huang Hu,形容精神不集中,心,气虚,Ontological terms,"v1,v2",0
509,精神萎靡,Jing Shen Wei Mi,精神萎靡（listlessness）是一种精神异常现象。是抑郁症的一大症状，主要表现为情绪低落，兴趣减低，悲观，思维迟缓，缺乏主动性，自责自罪，饮食、睡眠差，担心自己患有各种疾病，感到全身多处不适。疾病过程中也可有精神萎靡，表现为胃口变差、食欲减退或增加、体重明显减轻或增加、失眠或嗜睡，心情沮丧、易流泪、悲伤、激动易怒、害怕与恐惧、寂寞、无聊、感情淡薄等。精神萎靡需治疗需找出病因，针对原发病治疗。,心,气虚,Synonymous terms,"v1,v2",0
510,精神忧郁,Jing Shen You Yu,,心,气郁,Synonymous terms,"v1,v2",0
511,精溢,Jing Yi,,肾,肾虚,Synonymous terms,"v1,v2",0
512,颈肩部僵硬,Jing Jian Bu Jiang Ying,,四肢,经络不通,Synonymous terms,"v1,v2",0
513,颈项活动不利,Jing Xiang Huo Dong Bu Li,,四肢,经络不通,Synonymous terms,"v1,v2",0
514,颈项僵硬,Jing Xiang Jiang Ying,,四肢,经络不通,Synonymous terms,"v1,v2",0
515,颈项僵直,Jing Xiang Jiang Zhi,,四肢,经络不通,Synonymous terms,"v1,v2",0
516,颈项紧张不舒,Jing Xiang Jin Zhang Bu Shu,,四肢,经络不通,Synonymous terms,"v1,v2",0
517,颈项疼痛,Jing Xiang Teng Tong,,四肢,经络不通,Synonymous terms,"v1,v2",0
518,颈椎病型头痛,Jing Zhui Bing Xing Tou Tong,,四肢,血瘀,Synonymous terms,"v1,v2",0
519,颈椎骨质增生,Jing Zhui Gu Zhi Zeng Sheng,"颈椎病又称颈椎综合征，是颈椎骨关节炎、增生性颈椎炎、颈神经根综合征、颈椎间盘脱出症的总称,是一种以退行性病理改变为基础的疾患。主要由于颈椎长期劳损、骨质增生，或椎间盘脱出、韧带增厚，致使颈椎脊髓、神经根或椎动脉受压，出现一系列功能障碍的临床综合征。表现为椎节失稳、松动；髓核突出或脱出；骨刺形成；韧带肥厚和继发的椎管狭窄等，刺激或压迫了邻近的神经根、脊髓、椎动脉及颈部交感神经等组织，引起一系列症状和体征",四肢,肾虚,Synonymous terms,"v1,v2",0
520,胫膝酸软,Jing Xi Suan Ruan,,四肢,肾虚,Synonymous terms,"v1,v2",0
521,痉厥,Jing Jue,是指肢体抽搐，神志不清的表现,心,,Ontological terms,"v1,v2",0
522,痉挛,Jing Luan,指肌肉突然做不随意挛缩，俗称抽筋，会令患者突感剧痛，肌肉动作不协调,心,经络不通,Ontological terms,"v1,v2",0
523,久病体弱,Jiu Bing Ti Ruo,,,气虚,Synonymous terms,"v1,v2",0
524,久咳,Jiu Ke,以咳嗽经久不愈为主要表现的疾病,,气虚,Ontological terms,"v1,v2",0
525,久咳不止,Jiu Ke Bu Zhi,,肺,气虚,Synonymous terms,"v1,v2",0
526,久痢,Jiu Li,指日久不愈或反复发作的痢疾,大肠,脾气虚,Ontological terms,"v1,v2",0
527,久痢不止,Jiu Li Bu Zhi,,大肠,脾气虚,Ontological terms,"v1,v2",0
528,久疟体虚,Jiu Nve Ti Xu,,大肠,气虚,Ontological terms,"v1,v2",0
529,久嗽,Jiu Sou,久嗽，证名。咳嗽经久不愈者。见《圣济总录》卷六十五。详久咳条。,肺,气虚,Ontological terms,"v1,v2",0
530,久嗽不止,Jiu Sou Bu Zhi,,肺,气虚,Ontological terms,"v1,v2",0
531,久泻,Jiu Xie,反复发作、久泻不愈的泄泻,大肠,气虚,Ontological terms,"v1,v2",0
532,久泻不止,Jiu Xie Bu Zhi,,大肠,气虚,Ontological terms,"v1,v2",0
533,久泻久痢,Jiu Xie Jiu Li,,大肠,气虚,Ontological terms,"v1,v2",0
534,久泻脱肛,Jiu Xie Tuo Gang,,大肠,气虚,Ontological terms,"v1,v2",0
535,拘挛麻木,Ju Luan Ma Mu,,四肢,经络不通,Ontological terms,"v1,v2",0
536,局部恶寒,Ju Bu E Han,,皮肤,阳虚,Synonymous terms,"v1,v2",0
537,局部红肿,Ju Bu Hong Zhong,,皮肤,火热,Synonymous terms,"v1,v2",0
538,局部畏恶风寒,Ju Bu Wei E Feng Han,,皮肤,气郁,Synonymous terms,"v1,v2",0
539,局部畏风寒,Ju Bu Wei Feng Han,,皮肤,气郁,Synonymous terms,"v1,v2",0
540,局部畏寒,Ju Bu Wei Han,,皮肤,阳虚,Synonymous terms,"v1,v2",0
541,局部肿痛,Ju Bu Zhong Tong,,皮肤,火热,Synonymous terms,"v1,v2",0
542,倦怠,Juan Dai,疲乏，懈怠,心,气虚,Ontological terms,"v1,v2",0
543,倦怠乏力,Juan Dai Fa Li,,心,气虚,Ontological terms,"v1,v2",0
544,厥阴头痛,Jue Yin Tou Tong,厥阴头痛，中医病症名。出《伤寒论•辨厥阴病脉证并治》。三阴头痛之一。《兰室秘藏•头痛门》：“厥阴头项痛，或吐痰沫，厥冷，其脉浮缓，吴茱萸汤主之。”又：厥阴脉会于巅顶，巅顶部头痛，亦为厥阴头痛之证候特色（见陆定圃《冷庐医话•头痛》）。以巅顶、颜面疼痛多见，或全头痛，或头痛部位不定。《灵枢•经脉》曰：“肝足厥明之脉，起于大指丛毛之际，……上贯膈，布胁助，循喉咙之后，上入颃颡，连目系，上出额，与督脉会于巅；其支者，从目系下颊里，环唇内……”。《丹溪心法十二经见证》足厥阴肝经见证有“头痛”,心,风火,Ontological terms,"v1,v2",0
545,咳喘,Ke Chuan,咳喘是肺病的主要症状。咳喘的病因有外感内伤之别，病机有寒热虚实之分。咳喘与痰密切相关，咳喘每多夹痰，痰也往往导致咳喘,肺,气逆,Ontological terms,"v1,v2",0
546,咳喘痛甚,Ke Chuan Tong Shen,,肺,气逆,Synonymous terms,"v1,v2",0
