Formula_id,Formula_pinyin_name,Formula_cn_name,Formula_alias_name,Formula_en_name,Dosage_form,Administration,Type,Category,Herbs_in_Chinese,Herbs_in_pinyin,Syndromes_in_Chinese,Syndromes_in_English,Indications_in_Chinese,Indications_in_English,Source,CPMCP_CMP_id,CPMCP_CPM_id,ITCM_id,ETCM_id
HBFO000412,Shen Bie Jia Jian Wan,参鳖甲煎丸,NA,Shen Bie Jia Pill,丸剂 (Pill),Oral,和血药,Chinese patent medicines,"人参, 凌霄花, 半夏, 厚朴, 土鳖虫, 大黄, 射干, 干姜, 柴胡, 桂枝, 桃仁, 牡丹皮, 白芍, 瞿麦, 石韦, 葶苈子, 蜂房, 蜣螂, 银硝, 阿胶, 鳖甲, 黄芩, 鼠妇","Ren Shen, Ling Xiao Hua, Ban Xia, Hou Po, Tu Bie Chong, Dai Huang, Ye Gan, Gan Jiang, Chai Hu, Gui Zhi, Tao Ren, Mu Dan Pi, Bai Shao, Qu Mai, Shi Wei, Ting Li Zi, Feng Fang, Qiang Lang, Yin Xiao, E Jiao, Bie Jia, Huang Qin, Shu Fu",痰瘀互结证,Syndrome of binding of phlegm and blood stasis,癥积,Abdominal mass,ETCM,NA,NA,271,271
HBFO000413,Biao Li Shuang Jie Tang,表里双解汤,NA,Biao Li Shuang Jie Decotion,汤剂 (Decoction),Oral,解表方,Ancient TCM prescriptions,"薄荷, 荆芥, 酒大黄, 牡丹皮, 赤芍, 桑白皮, 金银花, 酒黄芩, 石膏","Bo He, Jing Jie, Jiu Dai Huang, Mu Dan Pi, Chi Shao, Sang Bai Pi, Jin Yin Hua, Jiu Huang Qin, Shi Gao",表里双解,Table 2,内清外解,The clear solution,CPMCP,33,NA,48025,NA
HBFO000414,Shen Er Wu Wei Jing,参耳五味晶,NA,Shen Er Wu Wei Jing,丸剂 (Pill),Oral,补益药,Chinese patent medicines,"五味子, 人参, 银耳, 麦冬","Wu Wei Zi, Ren Shen, Yin Er, Mai Dong",气阴两虚证; 肺气阴两虚证,Syndrome of deficiency of both lung qi and yin; Syndrome of deficiency of both qi and yin,"眩晕, 心悸, 不寐, 咳嗽, 盗汗","Inability to sleep, Nightsweat, Cough, Palpitations, Dizziness",ETCM,NA,NA,272,272
HBFO000415,Shenfu Qiangxin Wan,参附强心丸,NA,Shen Fu Qiang Xin Pill; Shenfu Qiangxin Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"人参, 附子（制）, 桑白皮, 猪苓, 葶苈子, 大黄","Ren Shen, Fu Zi （ Zhi ）, Sang Bai Pi, Zhu Ling, Ting Li Zi, Dai Huang",益气助阳，强心利水,NA,用于慢性心力衰竭而引起的心悸、气短、胸闷喘促、面肢浮肿等症，属于心肾阳衰者,"It is used for palpitations, shortness of breath, chest tightness, shortness of breath, swelling of facial limbs and other symptoms caused by chronic heart failure, belonging to patients with heart and kidney yang failure",Chinese Pharmacopoeia 2020 edition,NA,NA,51882,NA
HBFO000416,SHEN FU TANG,参附汤,NA,Shen Fu Decoction,汤剂 (Decoction),Oral,NA,Ancient TCM prescriptions,"人参, 大枣, 生姜, 附子","Ren Shen, Da Zao, Sheng Jiang, Fu Zi",NA,NA,NA,NA,ETCM,NA,NA,NA,NA
HBFO000417,Shen Fu Zhu She Ye,参附注射液,NA,Shen Fu Injection,注射剂 (Injection),Injection,补益药,Chinese patent medicines,"红参, 附子","Hong Can, Fu Zi",亡阳证,Syndrome of yang depletion,"厥症, 脱证, 惊悸, 怔忡, 胃脘痛, 腹泻, 痹病","Impediment disease, Diarrhea, Fright palpitations, Collapse syndrome, Stomachache, Fearful throbbing, Syncope",ETCM,NA,NA,273,273
HBFO000418,Biao Re Qing Ke Li,表热清颗粒,NA,Biao Re Qing Granule,颗粒剂 (Granule),Oral,NA,Chinese patent medicines,"柘树根, 南板蓝根, 石膏, 金银花, 柴胡, 黄芩, 甘草, 蔗糖, 糊精","Zhe Shu Gen, Nan Ban Lan Gen, Shi Gao, Jin Yin Hua, Chai Hu, Huang Qin, Gan Cao, Zhe Tang, Hu Jing",清火，解毒退热,"Clear fire, detoxify and reduce fever",主要上呼吸道感染、扁桃体炎、急性咽喉炎、急性支气管炎等,"Main upper respiratory tract infections, tonsillitis, acute pharyngitis, acute bronchitis, etc.",ITCM,NA,70,52060,NA
HBFO000419,Shen Gui Tiao Jing Wan,参桂调经丸,NA,Shen Gui Tiao Jing Pill,丸剂 (Pill),Oral,和血药,Chinese patent medicines,"党参, 半夏, 吴茱萸, 川芎, 当归, 炙甘草, 牡丹皮, 白芍, 肉桂, 阿胶, 麦冬","Dang Shen, Ban Xia, Wu Zhu Yu, Chuan Qiong, Dang Gui, Zhi Gan Cao, Mu Dan Pi, Bai Shao, Rou Gui, E Jiao, Mai Dong",胞宫虚寒证; 瘀阻胞宫证,Syndrome of deficient cold in uterus; Syndrome of blood stasis obstructing the uterus,"月经失调, 痛经, 月经过多","Dysmenorrhea, Profuse menstruation, Menstrual irregularities",ETCM,NA,NA,276,276
HBFO000420,Shengui Jiaonang,参桂胶囊,NA,Shen Gui Capsule; Shengui Capsule,胶囊剂 (Capsule),Oral,NA,Chinese patent medicines,"红参, 川芎, 桂枝","Hong Can, Chuan Qiong, Gui Zhi",益气通阳，活血化瘀,NA,用于心阳不振，气虚血瘀所致的胸痛，症见胸部刺痛，固定不移，入夜更甚，遇冷加重，或畏寒喜暖，面色少华；冠心病心绞痛见上述证候者,"It is used for chest pain caused by lack of heart yang, qi deficiency and blood stasis, symptoms of chest tingling, immobilization, worse at night, aggravated by cold, or chills and warmth, and the complexion is shabby; patients with coronary heart disease and angina with the above syndromes",Chinese Pharmacopoeia 2020 edition,NA,NA,51766,NA
HBFO000421,Shen Gui Li Zhong Wan,参桂理中丸,NA,Shen Gui Li Zhong Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"人参, 干姜, 甘草, 白术, 肉桂, 附子","Ren Shen, Gan Jiang, Gan Cao, Bai Zhu, Rou Gui, Fu Zi",脾胃阳虚证,Syndrome of yang deficiency in spleen and stomach,"腹痛, 腹泻, 呕吐, 疝气, 痛经","Abdominal Pain, Diarrhea, Vomit, Dysmenorrhea, Hernia",ETCM,NA,NA,274,274
HBFO000422,Shen Gui Lu Rong Wan,参桂鹿茸丸,NA,Shen Gui Lu Rong Pill,丸剂 (Pill),Oral,补益药,Ancient TCM prescriptions,"乳香, 人参, 地黄, 天冬, 山茱萸, 川牛膝, 川芎, 延胡索, 当归, 木香, 杜仲, 沉香, 没药, 泽泻, 熟地黄, 牛膝, 琥珀, 甘草, 白术, 白芍, 砂仁, 秦艽, 红花, 续断, 肉桂, 艾叶, 茯苓, 西红花, 赤石脂, 酸枣仁, 阿胶, 陈皮, 陈皮, 香附, 鳖甲, 鸡冠花, 鹿茸, 黄芩, 龟甲","Ru Xiang, Ren Shen, Di Huang, Tian Dong, Shan Zhu Yu, Chuan Niu Xi, Chuan Qiong, Yan Hu Suo, Dang Gui, Mu Xiang, Du Zhong, Chen Xiang, Mo Yao, Ze Xie, Shu Di Huang, Niu Xi, Hu Po, Gan Cao, Bai Zhu, Bai Shao, Sha Ren, Qin Jiao, Hong Hua, Xu Duan, Rou Gui, Ai Ye, Fu Ling, Xi Hong Hua, Chi Shi Zhi, Suan Zao Ren, E Jiao, Chen Pi, Chen Pi, Xiang Fu, Bie Jia, Ji Guan Hua, Lu Rong, Huang Qin, Gui Jia",肝肾亏虚证; 气血两虚证,Syndrome of deficiency in liver and kidney; Syndrome of deficiency of both essence and blood,"虚劳, 眩晕, 耳鸣, 自汗, 盗汗, 不寐, 多梦, 带下病, 月经失调","Inability to sleep, Leukorrheal diseases, Nightsweat, Profuse dreaming, Tinnitus, Consumptive disease, Dizziness, Menstrual irregularities, Spontaneous sweating",ETCM,NA,NA,275,275
HBFO000423,Shen Gui Yang Rong Wan,参桂养荣丸,NA,Shen Gui Yang Rong Pill,丸剂 (Pill),Oral,补益药,Chinese patent medicines,"五味子, 党参, 当归, 炙甘草, 炙黄芪, 熟地黄, 白术, 白芍, 肉桂, 茯苓, 远志, 陈皮","Wu Wei Zi, Dang Shen, Dang Gui, Zhi Gan Cao, Zhi Huang Qi, Shu Di Huang, Bai Zhu, Bai Shao, Rou Gui, Fu Ling, Yuan Zhi, Chen Pi",气血两虚证,Syndrome of deficiency of both essence and blood,"解㑊, 惊悸, 健忘 ","Forgetfulness, Fright palpitations",ETCM,NA,96,277,277
HBFO000424,Shen Gui Zai Zao Wan,参桂再造丸,NA,Shen Gui Zai Zao Pill,丸剂 (Pill),Oral,化湿药,Chinese patent medicines,"丹参, 乌稍蛇, 乌药, 乳香, 仙鹤草, 僵蚕, 冰片, 厚朴, 地龙, 大黄, 威灵仙, 巴戟天, 桑寄生, 没药, 炙甘草, 熟地黄, 片姜黄, 狗脊, 独活, 玄参, 白芷, 白附子, 穿山甲, 粉萆薢, 红参, 红花, 肉桂, 苍术, 苦参, 草豆蔻, 葛根, 赤芍, 防风, 青皮, 香附, 骨碎补, 鸡血藤, 麻黄","Dan Shen, Wu Shao She, Wu Yao, Ru Xiang, Xian He Cao, Jiang Can, Bing Pian, Hou Po, Di Long, Dai Huang, Wei Ling Xian, Ba Ji Tian, Sang Ji Sheng, Mo Yao, Zhi Gan Cao, Shu Di Huang, Pian Jiang Huang, Gou Ji, Du Huo, Xuan Can, Bai Zhi, Bai Fu Zi, Chuan Shan Jia, Fen Bi Xie, Hong Can, Hong Hua, Rou Gui, Cang Zhu, Ku Shen, Cao Dou Kou, Ge Gen, Chi Shao, Fang Feng, Qing Pi, Xiang Fu, Gu Sui Bu, Ji Xue Teng, Ma Huang",风寒湿凝滞筋骨证,Syndrome of stagnation and congelation of wind cold-dampness in sinew and bone,痹病,Impediment disease,ETCM,NA,NA,278,278
HBFO000425,Shen Huang Ruan Gao,参皇软膏,NA,Shen Huang Ointment,软膏剂 (Ointment),External Use,NA,Chinese patent medicines,"人参, 蜂王浆, 硬脂酸, 蜂蜡, 尼泊金丙酯, 肉豆蔻酸异丙酯, 尼泊金甲酯, 司盘, 甘油, 丙二醇, 聚山梨酯, 三乙醇胺, 凡士林（白）, 亚硫酸氢钠","Ren Shen, Feng Wang Jiang, Ying Zhi Suan, Feng La, Ni Po Jin Bing Zhi, Rou Dou Kou Suan Yi Bing Zhi, Ni Po Jin Jia Zhi, Si Pan, Gan You, Bing Er Chun, Ju Shan Li Zhi, San Yi Chun An, Fan Shi Lin （ Bai ）, Ya Liu Suan Qing Na",养血润燥，祛风止痒,"Nourishing blood and moisturizing dryness, dispelling wind and relieving itching",血虚风燥，肌肤失养所致的手足皲裂、干性脂溢性皮炎、皮肤干燥症,"Blood deficiency and wind dryness, chapped hands and feet, dry seborrheic dermatitis, dry skin caused by skin dystrophy",ITCM,NA,98,51039,NA
HBFO000426,Shenjing Zhike Wan,参精止渴丸,NA,Shen Jing Zhi Ke Pill; Shenjing Zhike Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"红参, 黄芪, 黄精, 茯苓, 白术, 葛根, 五味子, 黄连, 大黄, 甘草","Hong Can, Huang Qi, Huang Jing, Fu Ling, Bai Zhu, Ge Gen, Wu Wei Zi, Huang Lian, Dai Huang, Gan Cao",益气养阴，生津止渴,NA,用于气阴两亏、内热津伤所致的消渴，症见少气乏力、口干多饮、易饥、形体消瘦；2型糖尿病见上述证候者,"Used for diminishing thirst caused by deficiency of both qi and yin and internal heat and body fluid injury. Symptoms: lack of energy, fatigue, dry mouth and polydipsia, easy hunger, weight loss; type 2 diabetes sees the above syndromes",Chinese Pharmacopoeia 2020 edition,NA,NA,52812,NA
HBFO000427,Shen Ling Bai Zhu Jiao Nang,参苓白术胶囊,NA,Shen Ling Bai Zhu Capsule,胶囊剂 (Capsule),Oral,补益药,Chinese patent medicines,"人参, 山药, 桔梗, 甘草, 白扁豆, 白术, 砂仁, 茯苓, 莲子, 薏苡仁","Ren Shen, Shan Yao, Jie Geng, Gan Cao, Bai Bian Dou, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren",脾胃气虚证,Syndrome of qi deficiency of spleen and stomach,"咳嗽, 解㑊",Cough,ETCM,NA,NA,279,279
HBFO000428,Shen Ling Bai Zhu Ke Li,参苓白术颗粒,NA,Shen Ling Bai Zhu Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"人参, 山药, 桔梗, 甘草, 白扁豆, 白术, 砂仁, 茯苓, 莲子, 薏苡仁","Ren Shen, Shan Yao, Jie Geng, Gan Cao, Bai Bian Dou, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren",脾胃气虚证,Syndrome of qi deficiency of spleen and stomach,解㑊 ,Depression,ETCM,NA,NA,280,280
HBFO000429,Shen Ling Bai Zhu Pian,参苓白术片,NA,Shen Ling Bai Zhu Tablet,片剂 (Tablet),Oral,补益药,Chinese patent medicines,"党参, 山药, 桔梗, 甘草, 白扁豆, 白术, 砂仁, 茯苓, 莲子, 薏苡仁, 陈皮","Dang Shen, Shan Yao, Jie Geng, Gan Cao, Bai Bian Dou, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren, Chen Pi",脾胃两虚证,Syndrome of deficiency of both spleen and stomach,"解㑊, 腹泻",Diarrhea,ETCM,NA,NA,281,281
HBFO000430,Bie Jia Xiao Zhi Jiao Nang,鳖甲消痔胶囊,NA,Bie Jia Xiao Zhi Capsule,胶囊剂 (Capsule),Oral,NA,Chinese patent medicines,"地瓜藤, 黄柏, 钝叶酸模, 鳖甲, 忍冬藤, 地榆, 槐角, 栀子, 淀粉","Di Gua Teng, Huang Bai, Tu Dai Huang, Bie Jia, Ren Dong Teng, Di Yu, Huai Jiao, Zhi Zi, Dian Fen",清热解毒，凉血止血，消肿止痛,"Clear heat and detoxify, cool blood to stop bleeding, reduce swelling and relieve pain",湿热蕴结所致的内痔出血，外痔肿痛，肛周瘙痒,"Internal hemorrhoid bleeding caused by damp-heat accumulation, external hemorrhoid swelling and pain, perianal itching",ITCM,NA,71,51700,NA
HBFO000431,Shenling Baizhu San,参苓白术散,NA,Shen Ling Bai Zhu Powder; Shenling Baizhu Powder,散剂 (Powder),Oral,NA,Chinese patent medicines,"人参, 茯苓, 白术（炒）, 山药, 白扁豆（炒）, 莲子, 薏苡仁（炒）, 砂仁, 桔梗, 甘草","Ren Shen, Fu Ling, Bai Zhu （ Chao ）, Shan Yao, Bai Bian Dou （ Chao ）, Lian Zi, Yi Yi Ren （ Chao ）, Sha Ren, Jie Geng, Gan Cao",补脾胃，益肺气,NA,用于脾胃虚弱，食少便溏，气短咳嗽，肢倦乏力,"Used for weak spleen and stomach, lack of food, loose stools, shortness of breath and coughing, fatigue and weakness of limbs",Chinese Pharmacopoeia 2020 edition,NA,NA,53559,NA
HBFO000432,Shen Ling Bai Zhu Wan,参苓白术丸,NA,Shen Ling Bai Zhu Pill; Shenling Baizhu Pill,丸剂 (Pill),Oral,补益药,Ancient TCM prescriptions,"人参, 山药, 桔梗, 甘草, 白扁豆, 白术, 砂仁, 茯苓, 莲子, 薏苡仁","Ren Shen, Shan Yao, Jie Geng, Gan Cao, Bai Bian Dou, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren",脾胃气虚证,Syndrome of qi deficiency of spleen and stomach,"腹泻, 咳嗽","Diarrhea, Cough",Chinese Pharmacopoeia 2020 edition,NA,NA,282,282
HBFO000433,Shen Ling Jian Er Gao,参苓健儿膏,NA,Shen Ling Jian Er Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"党参, 山楂, 山药, 枳实, 白术, 白芍, 茯苓, 葫芦茶, 防风, 黄芪","Dang Shen, Shan Zha, Shan Yao, Zhi Shi, Bai Zhu, Bai Shao, Fu Ling, Hu Lu Cha, Fang Feng, Huang Qi",脾胃气虚证,Syndrome of qi deficiency of spleen and stomach,疳病,Infantile malnutrition,ETCM,NA,NA,283,283
HBFO000434,Shen Ling Jian Pi Wei Ke Li,参苓健脾胃颗粒,NA,Shen Ling Jian Pi Wei Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"北沙参, 山药, 扁豆, 甘草, 白术, 砂仁, 茯苓, 莲子, 薏苡仁, 陈皮","Bei Sha Shen, Shan Yao, Bian Dou, Gan Cao, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren, Chen Pi",脾胃气虚证,Syndrome of qi deficiency of spleen and stomach,"呕吐, 腹泻, 解㑊","Diarrhea, Vomit",ETCM,NA,NA,284,284
HBFO000435,Shen Ling Jian Ti Fen,参苓健体粉,NA,Shen Ling Jian Ti Fen,散剂 (Powder),Oral,化湿药,Chinese patent medicines,"山药, 广藿香, 明党参, 甘草, 白扁豆, 白术, 砂仁, 茯苓, 莲子, 薏苡仁","Shan Yao, Guang Huo Xiang, Ming Dang Shen, Gan Cao, Bai Bian Dou, Bai Zhu, Sha Ren, Fu Ling, Lian Zi, Yi Yi Ren",脾虚湿困证,Syndrome of dampness stagnation due to spleen deficiency,"腹泻, 解㑊 ",Diarrhea,ETCM,NA,NA,285,285
HBFO000436,Shen Lu Bu Gao,参鹿补膏,NA,Shen Lu Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"人参, 仙鹤草, 党参, 墨旱莲, 女贞子, 淫羊藿, 熟地黄, 狗脊, 玉竹, 白术, 续断, 锁阳, 鸡血藤, 鹿肉","Ren Shen, Xian He Cao, Dang Shen, Mo Han Lian, Nv Zhen Zi, Yin Yang Huo, Shu Di Huang, Gou Ji, Yu Zhu, Bai Zhu, Xu Duan, Suo Yang, Ji Xue Teng, Lu Rou",肾阳虚证; 气血两虚证,Syndrome of deficiency of both essence and blood; Syndrome of yang deficiency of kidney,虚劳,Consumptive disease,ETCM,NA,NA,286,286
HBFO000437,Bin Lang Qi Wei Wan,槟榔七味丸,NA,Bin Lang Qi Wei Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"槟榔, 石榴子, 官桂, 荜茇, 白硇砂, 干姜, 豆蔻","Bing Lang, Shi Liu Zi, Guan Gui, Bi Ba, Bai Nao Sha, Gan Jiang, Dou Kou",祛寒补肾,To dispel cold and nourish the kidney,肾寒肾虚，腰腿疼痛，小腹胀满，头昏眼花，耳鸣,"Kidney cold and kidney deficiency, waist and leg pain, lower abdomen fullness, dizziness, tinnitus",ITCM,NA,NA,52000,NA
HBFO000438,Shen Lu Bu Pian,参鹿补片,NA,Shen Lu Tablet,片剂 (Tablet),Oral,补益药,Chinese patent medicines,"仙鹤草, 党参, 墨旱莲, 女贞子, 淫羊藿, 熟地黄, 狗脊, 玉竹, 白术, 红参, 续断, 锁阳, 鸡血藤, 鹿肉","Xian He Cao, Dang Shen, Mo Han Lian, Nv Zhen Zi, Yin Yang Huo, Shu Di Huang, Gou Ji, Yu Zhu, Bai Zhu, Hong Can, Xu Duan, Suo Yang, Ji Xue Teng, Lu Rou",肾阳虚证,Syndrome of yang deficiency of kidney,"眩晕, 耳鸣","Tinnitus, Dizziness",ETCM,NA,NA,287,287
HBFO000439,Shen Lu Fu Zheng Jiao Nang,参鹿扶正胶囊,NA,Shen Lu Fu Zheng Capsule,胶囊剂 (Capsule),Oral,NA,Chinese patent medicines,"人参, 熟地黄, 杜仲, 枸杞子, 巴戟天, 牛膝, 茯苓, 沙棘, 胡芦巴, 天冬, 五味子, 五加皮, 肉苁蓉, 鹿角胶, 山药, 酸枣仁, 桑椹, 白术, 半枝莲, 猫爪草","Ren Shen, Shu Di Huang, Du Zhong, Gou Qi Zi, Ba Ji Tian, Niu Xi, Fu Ling, Sha Ji, Hu Lu Ba, Tian Dong, Wu Wei Zi, Wu Jia Pi, Rou Cong Rong, Lu Jiao Jiao, Shan Yao, Suan Zao Ren, Sang Shen, Bai Zhu, Ban Zhi Lian, Mao Zhao Cao",扶正固本，滋阴壮阳，解毒散结,"Strengthen the body, nourish yin and strengthen yang, detoxify",阴阳两虚所致的神疲乏力，头晕耳鸣，健忘失眠，腰膝酸痛，阳痿早泄，夜尿频多及癌症放疗、化疗的辅助治疗,"Deficiency of yin and yang caused by fatigue, dizziness, tinnitus, forgetfulness, insomnia, waist and knee pain, impotence and premature ejaculation, frequent nocturia and adjuvant treatment of cancer radiotherapy and chemotherapy",ITCM,NA,104,51332,NA
HBFO000440,Shen Lu Gao,参鹿膏,NA,Shen Lu Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"川芎, 当归, 熟地黄, 甘草, 白术, 白芍, 益母草膏, 红参, 续断, 茯苓, 菟丝子, 阿胶, 鹿角胶","Chuan Qiong, Dang Gui, Shu Di Huang, Gan Cao, Bai Zhu, Bai Shao, Yi Mu Cao Gao, Hong Can, Xu Duan, Fu Ling, Tu Si Zi, E Jiao, Lu Jiao Jiao",气血两虚证,Syndrome of deficiency of both essence and blood,"月经失调, 产后腹痛","Postpartum abdominal pain, Menstrual irregularities",ETCM,NA,105,288,288
HBFO000441,Shen Lu Qiang Shen Wan,参鹿强身丸,NA,Shen Lu Qiang Shen Pill,丸剂 (Pill),Oral,补益药,Chinese patent medicines,"女贞子, 山茱萸, 山药, 甘草, 白术, 白芍, 红参, 肉苁蓉, 菟丝子, 覆盆子, 锁阳, 陈皮, 鹿肉","Nv Zhen Zi, Shan Zhu Yu, Shan Yao, Gan Cao, Bai Zhu, Bai Shao, Hong Can, Rou Cong Rong, Tu Si Zi, Fu Pen Zi, Suo Yang, Chen Pi, Lu Rou",肾阳虚证,Syndrome of yang deficiency of kidney,"阳痿, 腰痛","Impotence, Lumbago",ETCM,NA,NA,289,289
HBFO000442,Binglang Sixiao Wan,槟榔四消丸（大蜜丸）,NA,Binglang Sixiao Pill (Big Honeyed Pills); Binglang Sixiao Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"槟榔, 酒大黄, 炒牵牛子, 猪牙皂（炒）, 醋香附, 五灵脂（醋炙）","Bing Lang, Jiu Dai Huang, Chao Qian Niu Zi, Zhu Ya Zao （ Chao ）, Cu Xiang Fu, Wu Ling Zhi （ Cu Zhi ）",消食导滞，行气泻水,NA,用于食积痰饮，消化不良，脘腹胀满，嗳气吞酸，大便秘结,"Used for food accumulating phlegm, indigestion, abdominal distension, belching and acid, constipation",Chinese Pharmacopoeia 2020 edition,NA,NA,52944,NA
HBFO000443,Binglang Sixiao Wan,槟榔四消丸（水丸）,NA,Binglang Sixiao Pill (Watered Pill); Binglang Sixiao Pill,丸剂 (Pill),Oral,NA,Chinese patent medicines,"槟榔, 酒大黄, 炒牵牛子, 猪牙皂（炒）, 醋香附, 五灵脂（醋炙）","Bing Lang, Jiu Dai Huang, Chao Qian Niu Zi, Zhu Ya Zao （ Chao ）, Cu Xiang Fu, Wu Ling Zhi （ Cu Zhi ）",消食导滞，行气泻水,NA,用于食积痰饮，消化不良，脘腹胀满，嗳气吞酸，大便秘结,"Used for food accumulating phlegm, indigestion, abdominal distension, belching and acid, constipation",Chinese Pharmacopoeia 2020 edition,NA,NA,52945,NA
HBFO000444,Shen Mai Di Huang Wan,参麦地黄丸,参麦六味丸,Shen Mai Di Huang Pill,丸剂 (Pill),Oral,燥湿药,Chinese patent medicines,"北沙参, 山茱萸, 山药, 泽泻, 熟地黄, 牡丹皮, 茯苓, 麦冬","Bei Sha Shen, Shan Zhu Yu, Shan Yao, Ze Xie, Shu Di Huang, Mu Dan Pi, Fu Ling, Mai Dong",肺肾阴虚证; 阴虚肺燥证,Syndrome of yin deficiency of lung and kidney; Syndrome of yin deficiency and lung dryness,"咳嗽, 喘病, 咳血","Dyspnea, Cough, Hemoptysis",ETCM,NA,NA,290,290
HBFO000445,Shen Mai Ke Li,参麦颗粒,NA,Shen Mai Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"南沙参, 山药, 枸杞子, 红参, 麦冬, 黄精","Nan Sha Shen, Shan Yao, Gou Qi Zi, Hong Can, Mai Dong, Huang Jing",气阴两虚证,Syndrome of deficiency of both qi and yin,虚劳,Consumptive disease,ETCM,NA,NA,291,291
HBFO000446,Bing Huang Ruan Gao,冰黄软膏,NA,Bing Huang Ointment,软膏剂 (Ointment),External Use,NA,Chinese patent medicines,"大黄, 硫黄, 黄连, 冰片, 氯霉素, 卡波姆, 甘油, 丙二醇, 聚山梨酯, 乙醇, 三乙醇胺, 水","Dai Huang, Liu Huang, Huang Lian, Bing Pian, Lv Mei Su, Ka Bo Mu, Gan You, Bing Er Chun, Ju Shan Li Zhi, Yi Chun, San Yi Chun An, Shui",清热除湿，解毒化瘀,To clear away heat and dampness,肺热血瘀所致寻常型痤疮,Acne vulgaris caused by lung heat and blood stasis,ITCM,NA,74,50910,NA
HBFO000447,Shen Mai Zhi Sou Tang Jiang,参麦止嗽糖浆,NA,Shen Mai Zhi Sou Syrup,糖浆剂 (Syrup),Oral,燥湿药,Chinese patent medicines,"买麻藤, 北沙参, 枇杷叶, 鱼腥草, 麦冬","Mai Ma Teng, Bei Sha Shen, Pi Pa Ye, Yu Xing Cao, Mai Dong",阴虚肺燥证,Syndrome of yin deficiency and lung dryness,咳嗽,Cough,ETCM,NA,NA,292,292
HBFO000448,Shen Mai Zhu She Ye,参麦注射液,NA,Shen Mai Injection,注射剂 (Injection),Injection,补益药,Chinese patent medicines,"红参, 麦冬","Hong Can, Mai Dong",气阴两虚证; 心气阴两虚证,Syndrome of deficiency of both qi and yin; Syndrome of deficiency of both heart qi and yin,胸痹,Chest painful impediment,ETCM,NA,NA,293,293
HBFO000449,Bing Qi Pian,冰七片,NA,Bing Qi Tablet,片剂 (Tablet),Oral,NA,Chinese patent medicines,"三七, 冰片, 淀粉, 硬脂酸镁","San Qi, Bing Pian, Dian Fen, Ying Zhi Suan Mei",活血理气，开窍止痛,"Invigorate blood and regulate qi, resuscitate and relieve pain",气滞血瘀的胸痹，症见胸痛、胸闷、憋气等；冠心病见上述症状者,"Qi stagnation and blood stasis chest pain, chest pain, chest tightness, suffocation, etc.; coronary heart disease sees the above symptoms",ITCM,NA,75,52199,NA
HBFO000450,Shen Mei Yang Wei Chong Ji,参梅养胃冲剂,胃炎康冲剂,Shen Mei Yang Wei Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"丹参, 乌梅, 北沙参, 山楂, 当归, 甘草, 白芍, 红花, 莪术, 蒲公英, 青木香","Dan Shen, Wu Mei, Bei Sha Shen, Shan Zha, Dang Gui, Gan Cao, Bai Shao, Hong Hua, E Shu, Pu Gong Ying, Qing Mu Xiang",胃阴虚证,Syndrome of yin deficiency of stomach,胃脘痛,Stomachache,ETCM,NA,NA,294,294
HBFO000451,Bing Zhi Shang Tong Qi Wu Ji,冰栀伤痛气雾剂,NA,Bing Zhi Shang Tong Spray,气雾剂 (Aerosols),External Use,NA,Chinese patent medicines,"大黄, 栀子, 肿节风, 地黄, 降香, 韭根, 马钱子, 冰片, 桃仁, 松节, 干姜, 花椒, 樟脑, 苏木, 樟根, 松笔头, 乙基纤维素, 氮酮, 丙二醇","Dai Huang, Zhi Zi, Zhong Jie Feng, Di Huang, Jiang Xiang, Jiu Gen, Ma Qian Zi, Bing Pian, Tao Ren, Song Jie, Gan Jiang, Hua Jiao, Zhang Nao, Su Mu, Zhang Gen, Song Bi Tou, Yi Ji Xian Wei Su, Dan Tong, Bing Er Chun",清热解毒凉血，活血化瘀止痛,"Clearing away heat, detoxifying and cooling blood, promoting blood circulation, removing blood stasis and relieving pain",跌打损伤，瘀血肿痛，亦可浅II度烧伤,"Bruises, bruises, blood stasis, swelling and pain, and superficial second-degree burns",ITCM,NA,76,51077,NA
